lipa80a,ANNEALING,258305,39 13 78 77 27 66 65 60 24 64 72 3 17 47 57 30 12 52 33 26 46 20 59 21 36 28 2 19 1 35 23 50 15 43 63 71 56 38 42 0 73 41 70 76 10 49 18 9 67 45 5 31 7 48 68 55 22 51 29 61 34 74 37 69 11 8 14 25 40 58 79 6 4 44 32 54 75 16 62 53
lipa80a,ANNEALING,258771,67 2 59 24 55 44 16 8 1 61 21 35 49 48 51 62 46 0 73 18 52 26 25 45 66 31 65 79 74 36 56 63 33 75 60 28 32 23 37 22 15 20 29 6 12 43 10 50 13 41 38 34 77 5 17 42 70 30 68 27 72 11 47 57 19 7 53 40 14 69 71 9 76 3 64 4 58 78 39 54
lipa80a,ANNEALING,258311,27 61 67 17 21 37 69 54 75 58 28 16 33 53 5 55 15 24 64 62 31 6 19 35 57 29 11 68 32 8 65 20 7 38 79 60 9 4 51 22 3 0 47 49 34 48 23 25 74 77 56 78 46 71 13 12 40 72 76 66 1 14 39 10 41 26 52 45 18 73 63 2 44 43 59 36 70 30 42 50
lipa80a,ANNEALING,258261,76 21 67 62 61 10 22 14 48 64 2 39 16 27 55 63 53 54 20 18 12 0 51 36 15 77 35 30 8 60 40 38 41 26 17 71 4 56 68 45 3 34 32 52 66 42 57 69 46 58 24 43 79 75 74 25 28 47 19 23 13 9 72 1 44 6 7 70 73 33 31 78 59 49 65 5 11 37 50 29
lipa80a,ANNEALING,258311,68 47 54 71 18 58 11 26 57 78 14 30 7 75 63 64 72 10 19 9 62 48 61 73 36 65 77 24 44 28 66 27 13 37 20 35 45 67 53 0 1 50 76 5 39 22 21 55 16 69 46 15 59 31 41 3 38 32 43 34 33 42 52 40 23 60 79 29 25 49 74 56 8 4 17 2 70 6 12 51
lipa80a,ANNEALING,258767,6 46 43 26 61 11 79 51 47 25 3 75 8 45 40 28 44 31 49 29 41 20 68 64 53 12 34 54 5 48 23 30 71 33 76 24 38 37 0 56 70 78 58 69 35 7 63 36 74 32 59 17 62 27 14 67 18 16 65 21 22 50 4 2 60 57 72 10 66 9 1 77 39 13 73 42 15 52 19 55
lipa80a,ANNEALING,258437,43 60 29 24 40 33 71 55 16 52 28 13 57 7 74 22 15 34 1 3 64 14 59 73 2 76 56 23 50 18 41 36 45 38 39 69 9 5 21 44 25 72 70 49 8 61 54 20 42 68 67 0 66 4 78 12 31 75 77 65 11 19 32 62 53 37 47 48 10 51 26 79 30 35 46 27 63 6 58 17
lipa80a,ANNEALING,258449,36 14 70 17 61 65 76 28 68 5 42 35 60 22 45 19 64 0 12 44 31 20 29 46 2 63 52 57 59 71 50 13 38 41 3 43 79 11 33 47 1 8 40 39 9 78 77 74 48 54 24 49 25 15 72 73 37 66 4 10 16 67 7 51 69 18 62 30 26 53 27 34 75 32 55 21 58 6 56 23
lipa80a,ANNEALING,258475,26 21 35 33 60 41 29 76 20 69 27 19 77 58 12 54 56 47 79 50 51 75 55 10 67 62 8 39 17 4 61 78 63 18 7 44 57 66 32 1 49 0 2 15 52 42 74 70 48 13 9 16 65 24 30 34 40 37 31 22 14 64 43 46 36 68 23 59 28 53 73 25 11 38 45 71 5 6 3 72
lipa80a,ANNEALING,258639,78 9 17 31 22 60 52 69 43 57 14 26 36 28 18 25 2 19 4 51 61 70 72 55 74 77 11 48 44 27 23 39 49 15 58 41 67 73 63 40 30 50 7 54 66 59 76 0 79 64 1 16 33 37 56 12 71 13 5 10 21 20 32 3 29 46 75 42 8 53 35 6 24 38 34 65 45 62 68 47
