,bur26f,tai64c
STEEPEST,"(0.042760632580991866, 0.038451557126466654)","(0.014564620758483034, 0.014552112288457928)"
GREEDY,"(0.04130201136189161, 0.03576168096790858)","(0.01528193612774451, 0.015416713026579699)"
