instance,algorithm,cost,permutation
bur26f,STEEPEST,3782697,7 3 13 22 17 19 23 15 18 8 25 21 14 2 9 4 1 12 11 10 16 0 24 20 6 5
bur26f,STEEPEST,3797702,11 19 8 4 12 7 22 0 13 3 1 5 6 15 20 9 2 16 18 17 10 24 21 25 14 23
bur26f,STEEPEST,3783347,7 14 11 20 17 23 2 8 16 24 25 1 3 0 9 4 21 10 12 13 18 22 6 19 15 5
bur26f,STEEPEST,3813526,12 25 4 14 18 23 20 15 17 21 24 19 3 16 11 5 2 10 0 13 9 22 8 1 7 6
bur26f,STEEPEST,3782068,7 14 1 22 17 3 20 5 18 8 6 12 0 21 9 4 19 10 11 13 16 23 24 2 15 25
bur26f,STEEPEST,3792053,7 6 20 23 17 14 22 24 18 21 15 2 1 16 9 4 3 12 11 13 10 19 25 5 8 0
bur26f,STEEPEST,3794964,1 2 6 7 11 25 15 4 13 23 21 8 5 12 20 9 22 18 16 17 10 24 14 19 3 0
bur26f,STEEPEST,3810592,0 23 9 24 12 8 7 4 11 1 3 5 25 13 10 14 2 16 15 18 17 6 21 19 20 22
bur26f,STEEPEST,3792125,7 5 4 14 17 22 21 25 18 20 15 1 23 16 9 2 3 11 12 13 10 0 24 6 8 19
bur26f,STEEPEST,3796976,11 22 8 4 10 7 3 14 12 21 1 5 15 24 20 9 0 16 18 17 13 25 19 6 2 23
bur26f,STEEPEST,3787805,15 19 14 23 16 0 21 8 17 9 24 3 1 22 5 13 20 11 12 10 18 2 25 4 7 6
bur26f,STEEPEST,3794964,0 1 6 8 10 25 24 4 13 22 20 7 15 11 19 9 23 17 16 18 12 5 14 2 3 21
bur26f,STEEPEST,3782718,8 22 14 2 18 21 3 7 16 24 25 10 20 0 9 4 1 11 13 12 17 23 6 19 15 5
bur26f,STEEPEST,3797282,14 0 8 4 12 7 3 19 11 20 2 25 24 15 13 9 23 16 18 17 10 5 21 6 1 22
bur26f,STEEPEST,3782718,7 22 14 21 17 2 3 8 16 5 6 11 0 1 9 4 19 10 13 12 18 23 24 20 15 25
bur26f,STEEPEST,3804098,8 15 20 19 18 23 1 9 17 7 24 2 21 14 16 4 0 12 11 10 13 22 5 25 3 6
bur26f,STEEPEST,3782486,7 19 21 23 17 0 2 8 16 5 15 13 20 14 9 4 3 11 12 10 18 22 6 1 24 25
bur26f,STEEPEST,3794893,2 14 24 7 12 6 5 4 11 1 3 8 15 13 21 9 23 18 16 17 10 25 19 22 20 0
bur26f,STEEPEST,3831340,12 23 4 15 18 14 6 5 11 1 2 9 19 13 8 3 25 10 17 16 21 24 22 7 20 0
bur26f,STEEPEST,3809492,16 6 1 9 17 19 20 8 12 21 25 23 14 4 15 2 5 13 11 10 18 0 7 3 22 24
bur26f,STEEPEST,3783123,7 0 10 2 17 21 1 8 16 25 24 14 22 4 9 19 3 13 11 12 18 20 6 23 15 5
bur26f,STEEPEST,3783280,15 1 11 4 16 2 0 9 17 7 6 23 14 3 25 20 19 13 10 12 18 21 5 22 8 24
bur26f,STEEPEST,3819974,18 22 9 24 10 7 4 3 14 20 19 5 25 11 12 1 2 16 15 17 13 6 0 8 21 23
bur26f,STEEPEST,3798822,19 1 15 4 12 7 8 20 13 3 2 25 24 6 10 9 23 16 18 17 11 5 21 0 14 22
bur26f,STEEPEST,3795005,21 1 7 6 12 25 24 4 10 0 3 8 15 11 2 9 20 18 17 16 13 5 14 22 19 23
bur26f,STEEPEST,3795173,0 14 5 9 10 8 24 4 11 20 3 7 15 13 19 6 22 17 16 18 12 25 2 23 1 21
bur26f,STEEPEST,3782044,8 19 2 22 18 0 21 6 17 7 5 13 20 14 9 4 3 11 12 10 16 23 24 1 15 25
bur26f,STEEPEST,3803786,8 9 14 21 17 1 3 6 16 23 7 19 0 4 18 22 2 10 13 12 11 20 25 5 15 24
bur26f,STEEPEST,3782964,8 3 13 2 18 21 14 25 17 7 24 1 20 4 9 23 0 11 10 12 16 19 5 22 15 6
bur26f,STEEPEST,3810500,9 3 19 1 18 20 23 7 16 5 8 21 2 17 13 4 22 12 10 11 15 0 6 14 24 25
bur26f,STEEPEST,3799743,7 3 13 22 18 20 23 15 6 9 8 19 14 0 17 4 2 10 12 11 16 1 25 21 24 5
bur26f,STEEPEST,3796868,14 0 6 7 13 25 4 19 11 1 3 8 5 9 12 15 22 18 16 17 10 24 23 2 21 20
bur26f,STEEPEST,3796101,14 2 24 4 11 7 6 21 10 0 3 8 15 9 13 25 1 18 16 17 12 5 20 23 19 22
bur26f,STEEPEST,3799057,1 2 6 24 11 8 7 4 10 0 3 15 25 12 20 9 21 16 17 18 13 5 14 22 19 23
bur26f,STEEPEST,3797413,21 0 7 4 12 8 3 19 11 20 22 6 5 15 13 9 23 16 17 18 10 25 2 24 14 1
bur26f,STEEPEST,3844079,18 3 23 14 11 2 4 25 10 0 1 15 24 13 8 22 6 16 9 12 17 21 20 5 19 7
bur26f,STEEPEST,3809307,1 0 8 15 12 6 24 4 13 3 21 7 25 10 11 19 22 17 9 16 18 5 2 20 14 23
